序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Paper%20Cover.png
Fig 2,Fig. 2. Data-driven CAT platoon formation problem update mechanism.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%202.png
Fig 3,Fig. 3. Resource-Directive Decomposition algorithm ﬂow demonstration.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%203.png
Fig 4,Fig. 4. The information ﬂow and digital twin update mechanism.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%204.png
Fig 5,Fig. 5. Kinematic model of semi-trailer truck and straight truck.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%205.png
Fig 6,Fig. 6. Trucks platoon position performance with respect to time.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%206.png
Fig 7,Fig. 7. Trucks platoon velocity performance with respect to time.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%207.png
Fig 8,Fig. 8. Trucks platoon headway error performance with respect to time.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%208.png
Fig 9,Fig. 9. Trucks platoon power eﬃciency with respect to time.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%209.png
Fig 10,Fig. 10. Average trucks energy consumption (ATEC) with respect to diﬀerent platoon.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%2010.png
Fig 11,Fig. 11. Real-world transportation GPS data visualization with road map.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%2011.png
Fig 12,Fig. 12. ATs driving route curvature statistics.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%2012.png
Fig 13,Fig. 13. Four selected cases of trucks velocity statistics.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%2013.png
Fig 14,Fig. 14. Computation time scaling of RDD performance compared with the state-of-the-art.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%2014.png
Fig 15,Fig. 15. Performance of four selected indicators in parameter sensitivity experiment.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%2015.png
Table 1,Table 1  Summary of recent relevant works on Cooperative Autonomous Truck delivery systems.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Table%201.png
Table 2,Table 2  The parameter of truck platooning with three types of ATs.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Table%202.png
Table 3,Table 3  The CATs platoon formation energy consumption compared with historical logistics data.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Table%203.png
Table 4,Table 4  Comparison of results for diﬀerent methods.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Table%204.png
Table 5,Table 5  Parameter grids for one-factor-at-a-time sensitivity analysis.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Table%205.png
Fig 1,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104596/Fig%201.jpg
